STDR_DE,NODE_ID,STTN_NO,STTN_NM,CRDNT_X,CRDNT_Y,STTN_TY,
20240101,100000164,1261,동대문,127.0123388,37.57182772,4,
20240101,100000165,1262,숭인동,127.0204373,37.57427215,0,
20240101,100000169,1267,조계사,126.9831609,37.57280034,0,
20240101,100000170,1268,적선동,126.9702965,37.57620122,0,
20240101,100000171,1269,적선동,126.9711446,37.57576801,0,
20240101,100000172,1270,사직단,126.9680667,37.57474628,0,
20240101,100000173,1271,사직단,126.9680484,37.5751752,0,
20240101,100000174,1272,세종문화회관,126.9770032,37.57321804,0,
20240101,100000175,1273,광화문,126.9752562,37.57039033,0,
20240101,100000176,1274,서울역사박물관(경교장),126.9702392,37.56930155,4,
20240101,100000178,1276,광화문역,126.9761552,37.56987779,0,
20240101,100000179,1277,이화동(이화장),127.002955,37.576257,0,
20240101,100000180,1278,상명대정문,126.9550207,37.60161972,0,
20240101,100000181,1279,이북오도청,126.955973,37.61272348,0,
20240101,100000419,1280,경복궁역(효자로입구),126.9743023,37.57670951,0,
20240101,100000183,1281,국립고궁박물관.경복궁서문,126.9743664,37.57677167,0,
20240101,100000184,1282,청와대분수대앞,126.9738378,37.58287013,0,
20240101,100000185,1283,춘추관앞,126.9795637,37.58300733,0,
20240101,100000186,1284,경복궁.국립민속박물관.현대미술관,126.9794299,37.57930743,0,
20240101,100000187,1285,경복궁동문,126.9792767,37.576833,0,
20240101,100000188,1286,상명대입구.세검정교회,126.9597922,37.59944351,0,
20240101,100000189,1287,상명대입구.석파랑,126.9581941,37.59957181,0,
20240101,100000190,1288,종로중부새마을금고,127.0065911,37.57241749,0,
20240101,100000191,1289,신설동로터리.신한은행앞.서울풍물시장,127.0231951,37.57425481,0,
20240101,100000192,1291,청계2가.삼일교,126.9869891,37.56834543,0,
20240101,100000193,1292,청계8가.황학교,127.022787,37.57213073,0,
20240101,100000355,1293,평창동삼성아파트,126.9787981,37.61118009,0,
20240101,100000370,1294,안국역.인사동,126.9855365,37.57633293,0,
20240101,100000369,1295,안국역.서울공예박물관,126.9848871,37.57641401,0,
20240101,100000371,1296,창덕궁,126.9890031,37.57722809,0,
20240101,100000413,1297,남인사마당,126.9874286,37.57131917,0,
20240101,100900047,1500,평창파출소,126.9668167,37.60568122,5,
20240101,100900178,1501,삼청공원,126.9816469,37.58822768,5,
20240101,100900041,1502,수성동계곡,126.9644679,37.58208138,5,
20240101,100900040,1503,명륜3가종점,126.9928637,37.59094838,5,
20240101,100900197,1504,명륜새마을금고,126.9967901,37.58778547,5,
20240101,100900044,1505,서대문3번출구,126.9663939,37.56633706,5,
20240101,100900039,1506,낙산공원,127.0087216,37.58040372,5,
20240101,100900037,1507,인사미술공간.세탁소,126.9893671,37.58141098,5,
20240101,100900036,1508,화정박물관,126.9648837,37.6048012,5,
20240101,100900035,1509,금융연수원,126.9816583,37.58663983,5,
20240101,100900034,1510,박노수미술관,126.9666035,37.58099674,5,
20240101,100900032,1511,샘미용실,126.9932227,37.59030953,5,
20240101,100900031,1512,서울국제고등학교,126.9972903,37.58907159,5,
20240101,100900029,1513,화정박물관,126.9652008,37.60498061,5,
20240101,100900188,1514,적십자병원후문앞,126.9652273,37.56752954,5,
20240101,100900202,1515,서울성곽.성대후문,126.9895694,37.58936638,5,
20240101,100900026,1516,빨래터.고희동미술관,126.9890634,37.58298722,5,
20240101,100900025,1517,세검초등학교,126.9614908,37.60425228,5,
20240101,100900024,1518,삼청동주민센터,126.9819072,37.58426383,5,
20240101,100900020,1519,통인시장,126.9684957,37.58044175,5,
20240101,100900021,1520,양현관,126.9936044,37.58979142,5,
20240101,100900017,1521,국민생활관,126.998862,37.58974563,5,
20240101,100900016,1522,오거리,126.9622629,37.60706212,5,
